,stance1_successrate,stance2_successrate,stance3_successrate,stance4_successrate,stance5_successrate,stance6_successrate,stance7_successrate,stance8_successrate,stance9_successrate,stance10_successrate,stance11_successrate,stance12_successrate,stance13_successrate,stance14_successrate,stance1_steps,stance2_steps,stance3_steps,stance4_steps,stance5_steps,stance6_steps,stance7_steps,stance8_steps,stance9_steps,stance10_steps,stance11_steps,stance12_steps,stance13_steps,stance14_steps,stance1_rewards,stance2_rewards,stance3_rewards,stance4_rewards,stance5_rewards,stance6_rewards,stance7_rewards,stance8_rewards,stance9_rewards,stance10_rewards,stance11_rewards,stance12_rewards,stance13_rewards,stance14_rewards
893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48,185,53,258,95,85,85,58,488,156,165,63,156,137,-20.734261021773573,-80.4976455510414,-27.679949404752925,-106.86592520252351,-46.017775283444735,-50.44695347400242,-61.26660472012969,-32.41402461579891,-215.08154136021895,-68.45081749445386,-104.29917144566109,-42.593896473835635,-76.45190229747229,-56.7149560591916
894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,435,36,103,127,106,171,64,343,201,51,257,150,383,-21.075021427237306,-134.50088401124296,-19.111919682693124,-51.38734835218886,-53.093984634130784,-61.38702477303582,-116.13568674211996,-37.807629802275855,-200.48898856856846,-85.38572332588409,-54.820094072487976,-172.07780159037293,-87.92890864511449,-190.86011038196887
895,1,1,1,1,0,0,0,0,0,0,0,0,0,0,81,250,52,113,0,0,0,0,0,0,0,0,0,0,-24.195534333921756,-86.70179630193473,-31.40947249541688,-60.26244589964593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54,183,53,107,162,80,57,188,452,362,271,94,212,209,-22.608196413526727,-79.20368464016873,-32.629717198707816,-56.26795879759234,-73.78180445531288,-41.05063730589099,-46.85367365204302,-124.05051772421243,-269.20742979462193,-123.93688824017573,-130.38104740560706,-42.17197830475411,-120.00026637575672,-124.7327711000533
897,1,1,1,1,1,1,1,1,0,0,0,0,0,0,58,245,42,259,164,171,480,76,0,0,0,0,0,0,-21.28586185051281,-74.59153763536892,-21.396074670026497,-103.58385157349468,-65.89738679111217,-88.16471940190121,-291.4828475646999,-49.51243912178324,0.0,0.0,0.0,0.0,0.0,0.0
898,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61,197,47,122,170,104,380,70,607,336,150,92,235,112,-22.567177808045848,-88.04859664712096,-20.410833396335093,-61.27102455240571,-83.41496757690736,-55.461454049871726,-237.54545894313753,-43.0213372799375,-630.9236691810183,-154.66396187217896,-87.66210414111106,-61.359284650721186,-243.78856521035854,-71.07506531902074
899,1,1,1,1,1,1,1,1,0,0,0,0,0,0,52,238,47,117,139,127,231,54,0,0,0,0,0,0,-22.31638041423443,-74.16598428191023,-25.67248287527333,-60.82727862822816,-56.507311801167376,-62.38629827394861,-190.85777027978543,-32.889847364712026,0.0,0.0,0.0,0.0,0.0,0.0
900,1,1,1,1,1,1,1,1,0,0,0,0,0,0,54,440,42,112,49,216,188,68,0,0,0,0,0,0,-22.86220075930117,-153.89365156294258,-26.48972730637681,-59.90902724297175,-25.643436652173214,-110.02296723581375,-101.96584693168919,-40.4866873134688,0.0,0.0,0.0,0.0,0.0,0.0
901,1,1,1,1,1,1,1,1,0,0,0,0,0,0,57,226,59,107,180,246,142,98,0,0,0,0,0,0,-22.39135633442462,-86.1173879672713,-28.60479101168105,-54.972798618534064,-91.31167921218463,-144.12858971487438,-95.5906704609267,-59.041565959665725,0.0,0.0,0.0,0.0,0.0,0.0
902,1,1,1,1,1,1,1,1,0,0,0,0,0,0,64,225,36,104,146,94,144,54,0,0,0,0,0,0,-23.327921413398666,-82.88190855937187,-14.705795684996177,-53.02360789996667,-66.43104112143138,-56.333302550891844,-100.96869347180794,-28.965782524646166,0.0,0.0,0.0,0.0,0.0,0.0
